sentiment_classification,trade_count,total_closed_pnl,average_closed_pnl,median_closed_pnl,win_count,average_trade_size_usd,total_fees,win_rate_percent
Extreme Fear,21400,739110.24849,34.53786207897196,0.0,7931,5349.7318429906545,23888.6339393869,37.06
Extreme Greed,39992,2715171.310673,67.89286133909282,0.0,18594,3112.2515645629123,27030.66546515,46.49
Fear,61837,3357155.441642,54.2903996254993,0.0,26019,7816.109930785776,92456.9486741548,42.08
Greed,50303,2150129.272951,42.74355948851957,0.0,19358,5736.884375086974,63098.6919791683,38.48
Neutral,37686,1292920.67555,34.30771839807886,0.0,14961,4782.732661465797,39374.2683038708,39.7
,6,42471.99413,7078.6656883333335,8057.245408000001,6,14778.143333333333,8.512204,100.0
